iter	Passed	Remaining
0	5	587
1	11	558
2	16	539
3	20	493
4	25	484
5	30	478
6	35	468
7	38	437
8	40	411
9	42	383
10	44	361
11	46	341
12	48	322
13	49	306
14	51	293
15	53	280
16	54	267
17	56	255
18	57	244
19	58	235
20	59	225
21	60	215
22	61	207
23	62	199
24	64	192
25	65	185
26	66	179
27	67	173
28	68	167
29	69	162
30	70	157
31	71	152
32	72	147
33	73	142
34	74	138
35	75	134
36	76	130
37	77	126
38	78	123
39	79	119
40	80	116
41	81	112
42	82	108
43	83	106
44	84	103
45	85	100
46	86	97
47	87	94
48	88	92
49	89	89
50	90	86
51	91	84
52	92	82
53	93	79
54	94	77
55	95	74
56	96	72
57	97	70
58	98	68
59	99	66
60	100	64
61	101	62
62	103	60
63	104	58
64	105	56
65	106	54
66	107	52
67	108	51
68	109	49
69	110	47
70	111	45
71	112	43
72	113	42
73	115	40
74	116	38
75	117	37
76	118	35
77	119	33
78	120	32
79	121	30
80	123	28
81	124	27
82	125	25
83	126	24
84	127	22
85	128	20
86	129	19
87	131	17
88	132	16
89	133	14
90	134	13
91	136	11
92	137	10
93	138	8
94	139	7
95	140	5
96	142	4
97	143	2
98	144	1
99	145	0
